0.04;0.;1.
0.04;0.0840187;1.
0.04;0.119962;0.999702
0.04;0.154311;0.9985456
0.04;0.19585;0.9970004
0.04;0.233396;0.9950576
0.04;0.269345;0.9931136
0.04;0.305294;0.9911696
0.04;0.345238;0.9884398
0.04;0.383586;0.9857086
0.04;0.434717;0.9818042
0.04;0.497831;0.9771202
0.06;0.;1.
0.06;0.0728354;1.
0.06;0.0991944;1.
0.06;0.124759;0.9985222
0.06;0.161506;0.9965788
0.06;0.196659;0.9938452
0.06;0.242197;0.9903308
0.06;0.27895;0.9868096
0.06;0.328487;0.9817204
0.06;0.374829;0.9766286
0.06;0.497082;0.9617348
0.08;0.;1.
0.08;0.0528648;1.
0.08;0.0872161;0.9992816
0.08;0.115179;0.9969368
0.08;0.151132;0.9938094
0.08;0.20067;0.9883256
0.08;0.247014;0.9828396
0.08;0.286169;0.9773476
0.08;0.334914;0.9702854
0.08;0.377268;0.9636126
0.08;0.498739;0.9431956
0.1;0.;1.
0.1;0.0193198;1.
0.1;0.0360955;1.00003
0.1;0.0552699;0.9984674
0.1;0.0848302;0.9961238
0.1;0.109598;0.9937766
0.1;0.140761;0.9898564
0.1;0.16713;0.9863268
0.1;0.198296;0.9816176
0.1;0.223866;0.9780874
0.1;0.256632;0.9725906
0.1;0.30698;0.9635572
0.1;0.366123;0.952164
0.1;0.497201;0.9250482
0.12;0.;1.
0.12;0.0209186;1.
0.12;0.0408929;0.9984562
0.12;0.0600686;0.9964988
0.12;0.0848404;0.992968
0.12;0.11441;0.9878632
0.12;0.146372;0.983549
0.12;0.178343;0.9768682
0.12;0.220702;0.9686174
0.12;0.271054;0.9584006
0.12;0.318215;0.9473924
0.12;0.367774;0.935597
0.12;0.421332;0.9218326
0.12;0.498073;0.902169
0.14;0.;1.00079
0.14;0.0217249;0.9980466
0.14;0.0448993;0.9945144
0.14;0.0680749;0.990588
0.14;0.0928493;0.9862682
0.14;0.137606;0.977625
0.14;0.181568;0.9674032
0.14;0.222335;0.9575732
0.14;0.263104;0.9469544
0.14;0.295081;0.938301
0.14;0.33745;0.9268946
0.14;0.371031;0.91627
0.14;0.404608;0.906829
0.14;0.438986;0.8965996
0.14;0.498151;0.8781058
